NOSE_x,NOSE_y,NOSE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,class_name,class_no
1363.0,1603.0,0.532961368560791,1385.0,1741.0,0.6628850698471069,1383.0,1735.0,0.5843477249145508,1261.0,1740.0,0.7228046655654907,1170.0,1685.0,0.5548501014709473,1029.0,1430.0,0.5183431506156921,1010.0,1431.0,0.7405718564987183,1259.0,1362.0,0.7118946313858032,1248.0,1357.0,0.4022407829761505,527.0,1759.0,0.7278426885604858,539.0,1682.0,0.7396493554115295,start,0
1321.0,1590.0,0.540570855140686,1356.0,1741.0,0.7858310341835022,1356.0,1727.0,0.7199817895889282,1229.0,1736.0,0.7482408285140991,1188.0,1699.0,0.7171264290809631,882.0,1741.0,0.6783332824707031,861.0,1722.0,0.3851177394390106,975.0,1502.0,0.5214313268661499,964.0,1507.0,0.44143596291542053,541.0,1716.0,0.7909274101257324,548.0,1663.0,0.7479556798934937,start,0
40.0,1610.0,0.22921441495418549,-12.0,1703.0,0.35396137833595276,-14.0,1746.0,0.253363698720932,127.0,1761.0,0.5635179281234741,100.0,1822.0,0.6705690026283264,355.0,1518.0,0.6063657999038696,344.0,1522.0,0.6376707553863525,140.0,1393.0,0.35265159606933594,124.0,1393.0,0.6745609045028687,838.0,1776.0,0.5483943223953247,851.0,1810.0,0.597008466720581,start,0
168.0,731.0,0.5788022875785828,154.0,799.0,0.7697837352752686,150.0,806.0,0.7700245380401611,237.0,789.0,0.6426769495010376,212.0,809.0,0.5948218703269958,397.0,786.0,0.5137441158294678,395.0,778.0,0.2955121695995331,346.0,702.0,0.16329216957092285,351.0,673.0,0.5240362286567688,553.0,783.0,0.6579841375350952,565.0,785.0,0.6392734050750732,start,0
189.0,684.0,0.6614235043525696,160.0,746.0,0.7518341541290283,154.0,751.0,0.7386274337768555,231.0,768.0,0.6504838466644287,213.0,787.0,0.5416111946105957,326.0,778.0,0.2130955308675766,410.0,718.0,0.24119918048381805,312.0,695.0,0.4930855929851532,309.0,696.0,0.6487599611282349,541.0,803.0,0.5910580158233643,560.0,784.0,0.43117475509643555,start,0
50.0,1636.0,0.1862509846687317,-12.0,1748.0,0.2311617136001587,-17.0,1774.0,0.22061510384082794,160.0,1774.0,0.4003657400608063,104.0,1816.0,0.5811986327171326,350.0,1506.0,0.585333526134491,326.0,1486.0,0.509746789932251,135.0,1365.0,0.2820858657360077,116.0,1362.0,0.7779614329338074,834.0,1783.0,0.6048705577850342,844.0,1823.0,0.6013225317001343,start,0
707.0,466.0,0.3239741325378418,722.0,542.0,0.4999288320541382,722.0,529.0,0.4580095708370209,654.0,567.0,0.7798739671707153,611.0,512.0,0.5835473537445068,408.0,422.0,0.6325584053993225,404.0,422.0,0.5143570899963379,537.0,308.0,0.5434062480926514,534.0,297.0,0.4808650314807892,166.0,523.0,0.628372311592102,188.0,471.0,0.6261916160583496,start,0
1363.0,1603.0,0.532961368560791,1385.0,1741.0,0.6628850698471069,1383.0,1735.0,0.5843477249145508,1261.0,1740.0,0.7228046655654907,1170.0,1685.0,0.5548501014709473,1029.0,1430.0,0.5183431506156921,1010.0,1431.0,0.7405718564987183,1259.0,1362.0,0.7118946313858032,1248.0,1357.0,0.4022407829761505,527.0,1759.0,0.7278426885604858,539.0,1682.0,0.7396493554115295,start,0
-3.0,1639.0,0.30282118916511536,-10.0,1740.0,0.1986526995897293,-17.0,1771.0,0.2058241367340088,150.0,1755.0,0.47119516134262085,119.0,1817.0,0.570898711681366,431.0,1545.0,0.5976239442825317,420.0,1548.0,0.4647664725780487,282.0,1381.0,0.4135555028915405,267.0,1384.0,0.6621537208557129,832.0,1753.0,0.4090113639831543,847.0,1810.0,0.5666544437408447,start,0
687.0,427.0,0.408703476190567,708.0,507.0,0.42350152134895325,708.0,501.0,0.4144759476184845,620.0,523.0,0.5969136357307434,593.0,492.0,0.502746045589447,408.0,351.0,0.6298836469650269,478.0,449.0,0.13928855955600739,494.0,398.0,0.22202755510807037,506.0,416.0,0.16914770007133484,149.0,522.0,0.6955908536911011,163.0,481.0,0.6019434928894043,start,0
24.0,1613.0,0.3589322566986084,16.0,1716.0,0.3605300784111023,-9.0,1761.0,0.376939982175827,201.0,1733.0,0.4398394227027893,114.0,1827.0,0.595257580280304,490.0,1606.0,0.3601534366607666,474.0,1612.0,0.6242135763168335,387.0,1423.0,0.5845515727996826,386.0,1418.0,0.5252763032913208,841.0,1764.0,0.41549843549728394,846.0,1816.0,0.4556061327457428,start,0
199.0,710.0,0.5295712947845459,159.0,757.0,0.5617897510528564,170.0,738.0,0.5436503887176514,214.0,800.0,0.6647200584411621,239.0,779.0,0.4126773476600647,282.0,795.0,0.16604509949684143,409.0,713.0,0.3574059307575226,316.0,700.0,0.4169752895832062,316.0,695.0,0.7215632200241089,543.0,820.0,0.6547359824180603,560.0,797.0,0.4220329821109772,start,0
